00:00:DC,HAYES
00:00:DD,TCL
00:00:DE,CETIA
00:00:DF,BELL
00:00:E0,QUADRAM
00:00:E1,GRID
00:00:E2,ACER
00:00:E3,INTEGRATED
00:00:E4,IN2
00:00:E5,SIGMEX
00:00:E6,APTOR
00:00:E7,STAR
00:00:E8,ACCTON
00:00:E9,ISICAD,
00:00:EA,UPNOD
00:00:EB,MATSUSHITA
00:00:EC,MICROPROCESS
00:00:ED,APRIL
00:00:EE,NETWORK
00:00:EF,KTI
00:00:F0,SAMSUNG
00:00:F1,MAGNA
00:00:F2,SPIDER
00:00:F3,GANDALF
00:00:F4,Allied
00:00:F5,DIAMOND
00:00:F6,APPLIED
00:00:F7,YOUTH
00:00:F8,DIGITAL
00:00:F9,QUOTRON
00:00:FA,MICROSAGE
00:00:FB,RECHNER
00:00:FC,MEIKO
00:00:FD,HIGH
00:00:FE,ANNAPOLIS
00:00:FF,CAMTEC
00:01:00,EQUIP'TRANS
00:01:01,PRIVATE
00:01:02,3COM
00:01:03,3COM
00:01:04,DVICO
00:01:05,Beckhoff
00:01:06,Tews
00:01:07,Leiser
00:01:08,AVLAB
00:01:09,Nagano
00:01:0A,CIS
00:01:0B,Space
00:01:0C,System
00:01:0D,CORECO,
00:01:0E,Bri-Link
00:01:0F,Brocade
00:01:10,Gotham
00:01:11,iDigm
00:01:12,Shark
00:01:13,OLYMPUS
00:01:14,KANDA
00:01:15,EXTRATECH
00:01:16,Netspect
00:01:17,CANAL
00:01:18,EZ
00:01:19,RTUnet
00:01:1A,Hoffmann
00:01:1B,Unizone
00:01:1C,Universal
00:01:1D,Centillium
00:01:1E,Precidia
00:01:1F,RC
00:01:20,OSCILLOQUARTZ
00:01:21,Watchguard
00:01:22,Trend
00:01:23,DIGITAL
00:01:24,Acer
00:01:25,YAESU
00:01:26,PAC
00:01:27,OPEN
00:01:28,EnjoyWeb,
00:01:29,DFI
00:01:2A,Telematica
00:01:2B,TELENET
00:01:2C,Aravox
00:01:2D,Komodo
00:01:2E,PC
00:01:2F,Twinhead
00:01:30,Extreme
00:01:31,Bosch
00:01:32,Dranetz
00:01:33,KYOWA
00:01:34,Selectron
00:01:35,KDC
00:01:36,CyberTAN
00:01:37,IT
00:01:38,XAVi
00:01:39,Point
00:01:3A,SHELCAD
00:01:3B,BNA
00:01:3C,TIW
00:01:3D,RiscStation
00:01:3E,Ascom
00:01:3F,Neighbor
00:01:40,Sendtek
00:01:41,CABLE
00:01:42,CISCO
00:01:43,CISCO
00:01:44,EMC
00:01:45,WINSYSTEMS,
00:01:46,Tesco
00:01:47,Zhone
00:01:48,X-traWeb
00:01:49,T.D.T.
00:01:4A,Sony
00:01:4B,Ennovate
00:01:4C,Berkeley
00:01:4D,Shin
00:01:4E,WIN
00:01:4F,ADTRAN
00:01:50,GILAT
00:01:51,Ensemble
00:01:52,CHROMATEK
00:01:53,ARCHTEK
00:01:54,G3M
00:01:55,Promise
00:01:56,FIREWIREDIRECT.COM,
00:01:57,SYSWAVE
00:01:58,Electro
00:01:59,S1
00:01:5A,Digital
00:01:5B,ITALTEL
00:01:5C,CADANT
00:01:5D,Oracle
00:01:5E,BEST
00:01:5F,DIGITAL
00:01:60,ELMEX
00:01:61,Meta
00:01:62,Cygnet
00:01:63,CISCO
00:01:64,CISCO
00:01:65,AirSwitch
00:01:66,TC
00:01:67,HIOKI
00:01:68,VITANA
00:01:69,Celestix
00:01:6A,ALITEC
00:01:6B,LightChip,
00:01:6C,FOXCONN
00:01:6D,CarrierComm
00:01:6E,Conklin
00:01:6F,Inkel
00:01:70,ESE
00:01:71,Allied
00:01:72,TechnoLand
00:01:73,AMCC
00:01:74,CyberOptics
00:01:75,Radiant
00:01:76,Orient
00:01:77,EDSL
00:01:78,MARGI
00:01:79,WIRELESS
00:01:7A,Chengdu
00:01:7B,Heidelberger
00:01:7C,AG-E
00:01:7D,ThermoQuest
